Component_ID,Category,Vendor,Model,Base_Cost_USD,Mass_g,Power_W,Architecture,CVE_Count,Max_CVSS,Interface_Risk,Criticality,,
ADCS-001,Star Tracker,Terma,T1,"$30,000",763,3.3,LEON3-FT,1,7.5,3,5,,
ADCS-002,Star Tracker,CubeSpace / Sodern,Auriga,"$18,000",126.5,0.627,ARM Cortex-M7,5,7.8,3,5,,
ADCS-003,Star Tracker,Blue Canyon Tech,XACT-15,"$135,000",1100,2.5,LEON3-FT,1,7.5,3,5,,
OBC-001,OBC,AAC Clyde Space,Kryten M3,"$12,000",94,0.3,ARM Cortex-M0+,8,8.8,4,5,,
OBC-002,OBC,GomSpace,NanoMind A3200,"$8,000",24,0.2,AVR32 (UC3),3,7.5,4,5,,
OBC-003,OBC,Vorago Technologies,VA10820 (PEB1),"$25,000",150,0.5,ARM Cortex-M0 (HARDSIL),5,7.8,4,5,,
COM-001,Radio,AstroDev,Lithium-2 (Li-2),"$6,500",75,4,AX.25 (Cortex-M3),2,7.5,5,5,,
COM-002,Radio,EnduroSat,S-Band Transmitter,"$15,600",250,7.2,ARM Cortex-M4,4,7.8,5,4,,
COM-003,Radio,ISISPACE,UHF/VHF Transceiver,"$11,000",75,4,ATMega / AVR,1,5.5,5,5,,
EPS-001,EPS,ISISPACE,ICEPS2,"$8,500",179,0.15,ARM Cortex-M4,4,7.8,3,5,,
EPS-002,EPS,EnduroSat,EPS II,"$5,500",120,0.1,ARM Cortex-M4,4,7.8,3,5,,
EPS-003,EPS,Pumpkin Inc.,Linear EPS,"$9,500",180,0.2,PIC24,2,6.8,3,5,,
PROP-001,Propulsion,ENPULSION,Nano R3,"$55,000",900,10,ARM Cortex-M4,4,7.8,2,4,,
PROP-002,Propulsion,Busek,BIT-3,"$125,000",3000,60,MSP430,1,5.1,2,4,,
PROP-003,Propulsion,Dawn Aero,B20,"$45,000",450,5,ARM Cortex-M0+,8,8.8,2,4,,
GNSS-001,GNSS,NovAtel,OEM719,"$1,500",31,1,ARM Cortex-A9,12,9.8,4,3,,
GNSS-002,GNSS,GOMSpace,NanoUtil,"$4,500",20,0.2,AVR32,3,7.5,4,3,,
GNSS-003,GNSS,Antcom,G5 Space,"$2,200",150,0.05,N/A (Passive),0,0,1,3,,
PAY-001,Payload,Simera Sense,MultiScape100,"$45,000",1100,7.5,ARM Cortex-A9,12,9.8,4,2,,
PAY-002,Payload,Dragonfly Aero,Gecko Imager,"$25,000",480,3.5,ARM Cortex-M7,5,7.8,4,2,,
PAY-003,Payload,GOMSpace,NanoCam C1U,"$12,000",166,1.5,AVR32,3,7.5,4,2,,
